Région de Ahuillé, France
Région de Saint-Gilles, France
Région de Saint-Gondran, France
Région de Saint-Gonlay, France
Région de Saint-Grégoire, France
Région de Saint-Guinoux, France
Région de Saint-Hilaire-des-Landes, France
Région de Saint-Jacques-de-la-Lande, France
Région de Saint-Jean-sur-Couesnon, France
Région de Saint-Jean-sur-Vilaine, France
Région de Saint-Jouan-des-Guérets, France
Région de Saint-Just, France
Région de Saint-Léger-des-Prés, France
Région de Saint-Lunaire, France
Région de Saint-M'Hervé, France
Région de Saint-M'Hervon, France
Région de Saint-Malo, France
Région de Saint-Malo-de-Phily, France
Région de Saint-Malon-sur-Mel, France
Région de Saint-Marc-le-Blanc, France
Région de Saint-Marc-sur-Couesnon, France
Région de Saint-Marcan, France
Région de Saint-Maugan, France
Région de Saint-Médard-sur-Ille, France
Région de Saint-Méen-le-Grand, France
Région de Saint-Méloir-des-Ondes, France
Région de Saint-Onen-la-Chapelle, France
Région de Saint-Ouen-des-Alleux, France
Région de Saint-Ouen-la-Rouërie, France
Région de Saint-Péran, France
Région de Saint-Père, France
Région de Saint-Pern, France
Région de Saint-Pierre-de-Plesguen, France
Région de Saint-Rémy-du-Plain, France
Région de Saint-Sauveur-des-Landes, France
Région de Saint-Séglin, France
Région de Saint-Senoux, France
Région de Saint-Suliac, France
Région de Saint-Sulpice-des-Landes, France
Région de Saint-Sulpice-la-Forêt, France
Région de Saint-Symphorien, France
Région de Saint-Thual, France
Région de Saint-Thurial, France
Région de Saint-Uniac, France
Région de Sainte-Anne-sur-Vilaine, France
Région de Sainte-Colombe, France
Région de Sainte-Marie, France
Région de Saulnières, France
Région de Sens-de-Bretagne, France
Région de Servon-sur-Vilaine, France
Région de Sixt-sur-Aff, France
Région de Sougéal, France
Région de Taillis, France
Région de Talensac, France
Région de Teillay, France
Région de Thorigné-Fouillard, France
Région de Thourie, France
Région de Tinténiac, France
Région de Torcé, France
Région de Trans-la-Forêt, France
Région de Treffendel, France
Région de Tremblay, France
Région de Trémeheuc, France
Région de Tresbœuf, France
Région de Tressé, France
Région de Trévérien, France
Région de Trimer, France
Région de Val d'Anast, France
Région de Val-d'Izé, France
Région de Vendel, France
Région de Vergéal, France
Région de Vern-sur-Seiche, France
Région de Vezin-le-Coquet, France
Région de Vieux-Viel, France
Région de Vieux-Vy-sur-Couesnon, France
Région de Vignoc, France
Région de Villamée, France
Région de Visseiche, France
Région de Vitré, France
